mechanism,benefit_scale,cost_scale,seed,final_mean_trait,final_std_trait
kin_selection,0.8,0.1,0,0.49211990676929734,0.0426770098268568
kin_selection,0.8,0.1,1,0.4936519600552037,0.05257821564114798
kin_selection,0.8,0.1,2,0.6677682710187892,0.1033369416165818
kin_selection,0.8,0.1,3,0.543409985973542,0.051377771751790445
kin_selection,0.8,0.1,4,0.6471127420175308,0.04738662757532027
kin_selection,0.8,0.1,5,0.42824036659173853,0.07418411068474624
kin_selection,0.8,0.1,6,0.48956180835464913,0.0483568016078704
kin_selection,0.8,0.1,7,0.524707746015352,0.06863707972629719
kin_selection,0.8,0.2,0,0.30508391407416546,0.07325407780582265
kin_selection,0.8,0.2,1,0.468457663880351,0.06395275111224316
kin_selection,0.8,0.2,2,0.2604398013305682,0.09110101295691178
kin_selection,0.8,0.2,3,0.22118772415093438,0.07821545795187561
kin_selection,0.8,0.2,4,0.2804974448643402,0.08070751248452977
kin_selection,0.8,0.2,5,0.2740314706857929,0.05501716150367399
kin_selection,0.8,0.2,6,0.4493795742907505,0.04166483896928401
kin_selection,0.8,0.2,7,0.25988481615188735,0.08419984050467737
kin_selection,0.8,0.3,0,0.1782799189665491,0.07478051876214191
kin_selection,0.8,0.3,1,0.16162176466923261,0.06409593344623384
kin_selection,0.8,0.3,2,0.06310383096135992,0.05352003271669984
kin_selection,0.8,0.3,3,0.09854586565427821,0.05032276413476662
kin_selection,0.8,0.3,4,0.18205384645061595,0.05679360624631018
kin_selection,0.8,0.3,5,0.0417777714089295,0.03022756862678495
kin_selection,0.8,0.3,6,0.18508938658763266,0.08435041268490139
kin_selection,0.8,0.3,7,0.28709868915534703,0.07276779702239534
kin_selection,1.0,0.1,0,0.6006670056958747,0.07020047254428179
kin_selection,1.0,0.1,1,0.6001416727875277,0.052775982569517224
kin_selection,1.0,0.1,2,0.6796273389961205,0.06309519256818047
kin_selection,1.0,0.1,3,0.7436860785521604,0.053023233395129474
kin_selection,1.0,0.1,4,0.6135594928958972,0.05677311096769201
kin_selection,1.0,0.1,5,0.6921179402197404,0.07334200075166186
kin_selection,1.0,0.1,6,0.5861026077665166,0.08059275382729009
kin_selection,1.0,0.1,7,0.6149892932034283,0.06111832669164375
kin_selection,1.0,0.2,0,0.3991103385440258,0.057246568703541195
kin_selection,1.0,0.2,1,0.5613450252398977,0.07665677888723176
kin_selection,1.0,0.2,2,0.48282339734874946,0.05048415895017516
kin_selection,1.0,0.2,3,0.4096328440420252,0.06555602363225561
kin_selection,1.0,0.2,4,0.41111357202745097,0.08791518430022181
kin_selection,1.0,0.2,5,0.4793246327205447,0.06813218885930872
kin_selection,1.0,0.2,6,0.2705805063533359,0.09850049239990231
kin_selection,1.0,0.2,7,0.32500268310180425,0.09678674760256353
kin_selection,1.0,0.3,0,0.3419901703650751,0.09863910084146198
kin_selection,1.0,0.3,1,0.182077443001524,0.061676857020078864
kin_selection,1.0,0.3,2,0.2551952513288487,0.08303323862909626
kin_selection,1.0,0.3,3,0.121056495441839,0.07688354785006862
kin_selection,1.0,0.3,4,0.2933797058330665,0.05368447506320845
kin_selection,1.0,0.3,5,0.3277690901160129,0.05384043166882403
kin_selection,1.0,0.3,6,0.254877226425786,0.1183612562990993
kin_selection,1.0,0.3,7,0.17685593555232101,0.06281719673794492
kin_selection,1.2,0.1,0,0.7347482281647997,0.07920538582862093
kin_selection,1.2,0.1,1,0.8325596096588439,0.050390981465079136
kin_selection,1.2,0.1,2,0.6145247187771923,0.0529048923927985
kin_selection,1.2,0.1,3,0.6570371774660182,0.05790645934772202
kin_selection,1.2,0.1,4,0.70940766970919,0.05353540418009895
kin_selection,1.2,0.1,5,0.7898035972510579,0.052191361019116624
kin_selection,1.2,0.1,6,0.8816839111671535,0.0780080605180134
kin_selection,1.2,0.1,7,0.8019858799208942,0.05606868014894072
kin_selection,1.2,0.2,0,0.49591728087029296,0.06061718856359519
kin_selection,1.2,0.2,1,0.6233050812697432,0.07134532935098378
kin_selection,1.2,0.2,2,0.527167744461651,0.05576285653610266
kin_selection,1.2,0.2,3,0.45728606157309176,0.0605161732525802
kin_selection,1.2,0.2,4,0.5137210026482015,0.06051976851508292
kin_selection,1.2,0.2,5,0.39553670032294835,0.0770984937451786
kin_selection,1.2,0.2,6,0.7267660481792834,0.10124517581093735
kin_selection,1.2,0.2,7,0.5476009892169478,0.05051423394064824
kin_selection,1.2,0.3,0,0.37189371154566664,0.08169350179441695
kin_selection,1.2,0.3,1,0.40483001223230836,0.0694559805721955
kin_selection,1.2,0.3,2,0.4042181810180383,0.056607440265819216
kin_selection,1.2,0.3,3,0.10049771665954553,0.05833172842370205
kin_selection,1.2,0.3,4,0.3594237467427768,0.05813271430366581
kin_selection,1.2,0.3,5,0.332891684133441,0.053392543574786525
kin_selection,1.2,0.3,6,0.05602330663015288,0.04639736735957405
kin_selection,1.2,0.3,7,0.2909099517211585,0.06647244088292537
network_reciprocity,0.8,0.1,0,0.5616984682729108,0.0666144116733998
network_reciprocity,0.8,0.1,1,0.3487760488114529,0.05298011891539657
network_reciprocity,0.8,0.1,2,0.33986648368420075,0.06751668372434673
network_reciprocity,0.8,0.1,3,0.3600537358912848,0.07842871365386765
network_reciprocity,0.8,0.1,4,0.3653905570901222,0.09306584004128672
network_reciprocity,0.8,0.1,5,0.3384584203989557,0.06648390986417228
network_reciprocity,0.8,0.1,6,0.5677228174570301,0.09037297284828658
network_reciprocity,0.8,0.1,7,0.35416396445218634,0.0666781881973011
network_reciprocity,0.8,0.2,0,0.021113055924934558,0.029410906110231824
network_reciprocity,0.8,0.2,1,0.04985828961176902,0.04982942188324821
network_reciprocity,0.8,0.2,2,0.01808793084622267,0.039185544228983835
network_reciprocity,0.8,0.2,3,0.017921425649827998,0.03097745917192959
network_reciprocity,0.8,0.2,4,0.05796239535225492,0.057850067852490306
network_reciprocity,0.8,0.2,5,0.04615813577748508,0.042888983146349036
network_reciprocity,0.8,0.2,6,0.023078290517761255,0.030837268371228126
network_reciprocity,0.8,0.2,7,0.030137754122107913,0.03851048260918885
network_reciprocity,0.8,0.3,0,0.007998106702575941,0.018968010746441128
network_reciprocity,0.8,0.3,1,0.008675850690895664,0.015612703593484715
network_reciprocity,0.8,0.3,2,0.003676491447592774,0.012066733555438067
network_reciprocity,0.8,0.3,3,0.01014005131514955,0.01965380380454622
network_reciprocity,0.8,0.3,4,0.005883792322018611,0.014409240648373362
network_reciprocity,0.8,0.3,5,0.00861645797914167,0.01803998651516245
network_reciprocity,0.8,0.3,6,0.004722039008337851,0.013019860172108976
network_reciprocity,0.8,0.3,7,0.008019974771296194,0.016396468426143743
network_reciprocity,1.0,0.1,0,0.43578056855559283,0.062122920548312685
network_reciprocity,1.0,0.1,1,0.48929726180192545,0.06049899165254397
network_reciprocity,1.0,0.1,2,0.5123607899687826,0.045775484791794725
network_reciprocity,1.0,0.1,3,0.4113450682744928,0.04808940229651143
network_reciprocity,1.0,0.1,4,0.5443253636124058,0.07401443502316592
network_reciprocity,1.0,0.1,5,0.5298304554167905,0.07519250837559673
network_reciprocity,1.0,0.1,6,0.6190193277006857,0.04584086585619014
network_reciprocity,1.0,0.1,7,0.3127055985009265,0.05837357191145865
network_reciprocity,1.0,0.2,0,0.1687038022247678,0.07859060203884258
network_reciprocity,1.0,0.2,1,0.2237575190930352,0.12954419573145348
network_reciprocity,1.0,0.2,2,0.07951152574465967,0.05617026310422334
network_reciprocity,1.0,0.2,3,0.07303337613897648,0.047622974096174296
network_reciprocity,1.0,0.2,4,0.1623688091904556,0.07110944485869863
network_reciprocity,1.0,0.2,5,0.07127113347425501,0.05814019510929464
network_reciprocity,1.0,0.2,6,0.18837407364232206,0.11186584309583429
network_reciprocity,1.0,0.2,7,0.12119515783886486,0.08230806024679092
network_reciprocity,1.0,0.3,0,0.01163488103858028,0.020194551620232492
network_reciprocity,1.0,0.3,1,0.008581371786845511,0.014540976974503511
network_reciprocity,1.0,0.3,2,0.007930506339667664,0.016581834845933466
network_reciprocity,1.0,0.3,3,0.01786529785661887,0.025804694996119728
network_reciprocity,1.0,0.3,4,0.004824926577074889,0.013311257472926724
network_reciprocity,1.0,0.3,5,0.01004397628890056,0.019564891573821703
network_reciprocity,1.0,0.3,6,0.0055146079833702155,0.015745910380191713
network_reciprocity,1.0,0.3,7,0.019790631042696405,0.023768723455132326
network_reciprocity,1.2,0.1,0,0.653625860632618,0.07031146127974054
network_reciprocity,1.2,0.1,1,0.5572119033922059,0.061333633260048634
network_reciprocity,1.2,0.1,2,0.6165579531347425,0.06564200163240709
network_reciprocity,1.2,0.1,3,0.6272046426914374,0.05155289355510818
network_reciprocity,1.2,0.1,4,0.574905481455984,0.09165131335829885
network_reciprocity,1.2,0.1,5,0.5805136957186898,0.04827590941466223
network_reciprocity,1.2,0.1,6,0.5944857484174304,0.07390211343321507
network_reciprocity,1.2,0.1,7,0.6902615042242246,0.06492868662353658
network_reciprocity,1.2,0.2,0,0.2435744337230758,0.050509150885077105
network_reciprocity,1.2,0.2,1,0.34721442824018894,0.06386340061953666
network_reciprocity,1.2,0.2,2,0.2352748350551579,0.05722522266777656
network_reciprocity,1.2,0.2,3,0.2517331507230276,0.09246664274070937
network_reciprocity,1.2,0.2,4,0.25261817829594524,0.06507683961090491
network_reciprocity,1.2,0.2,5,0.31147200180530166,0.07734041447177482
network_reciprocity,1.2,0.2,6,0.4234861952746428,0.08138213765492817
network_reciprocity,1.2,0.2,7,0.24052788581977025,0.06897374688597467
network_reciprocity,1.2,0.3,0,0.014273323341174819,0.028190352925593576
network_reciprocity,1.2,0.3,1,0.019190152864764592,0.028301560984648522
network_reciprocity,1.2,0.3,2,0.013314562291769328,0.020383858523598787
network_reciprocity,1.2,0.3,3,0.013805370067997876,0.0219020834722008
network_reciprocity,1.2,0.3,4,0.015077105805622474,0.023628476931906117
network_reciprocity,1.2,0.3,5,0.016439181402720746,0.028813081708621624
network_reciprocity,1.2,0.3,6,0.02345288799921002,0.04333110389583302
network_reciprocity,1.2,0.3,7,0.016961584533624716,0.025226219319700635
direct_reciprocity,0.8,0.1,0,0.04413260225926861,0.03984035426982472
direct_reciprocity,0.8,0.1,1,0.03779991240302535,0.03697747992341518
direct_reciprocity,0.8,0.1,2,0.029182821535455223,0.031480938788905385
direct_reciprocity,0.8,0.1,3,0.02766408832656265,0.03706245355247614
direct_reciprocity,0.8,0.1,4,0.03670183096075132,0.03725100975414432
direct_reciprocity,0.8,0.1,5,0.019460931125603466,0.03595404464728674
direct_reciprocity,0.8,0.1,6,0.03205653384587946,0.03210682804450204
direct_reciprocity,0.8,0.1,7,0.032789725671756566,0.04472855520546698
direct_reciprocity,0.8,0.2,0,0.009859609510824797,0.02051395460124794
direct_reciprocity,0.8,0.2,1,0.01600671498159756,0.02195045604233214
direct_reciprocity,0.8,0.2,2,0.008562766789268546,0.01704827382910138
